ID: 8144, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 19:19:35, Текущее состояние: True, Процессор использовал 00:00:13.4687500 времени
ID: 15332, Имя: chrome, Приоритет: 8, Время запуска: 22.12.2023 19:43:55, Текущее состояние: True, Процессор использовал 00:00:26.1406250 времени
ID: 7204, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 20:27:24, Текущее состояние: True, Процессор использовал 00:00:19.2343750 времени
ID: 21660, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 20:43:07, Текущее состояние: True, Процессор использовал 00:00:14.1093750 времени
ID: 27192, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 20:48:50, Текущее состояние: True, Процессор использовал 00:00:07.2968750 времени
ID: 17048, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 21:04:01, Текущее состояние: True, Процессор использовал 00:00:09.9531250 времени
ID: 4868, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 21:14:01, Текущее состояние: True, Процессор использовал 00:00:05.5625000 времени
ID: 6712, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 21:14:45, Текущее состояние: True, Процессор использовал 00:00:48.8906250 времени
ID: 22520, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 21:14:46, Текущее состояние: True, Процессор использовал 00:00:07.3750000 времени
ID: 11956, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 21:22:55, Текущее состояние: True, Процессор использовал 00:00:00.2812500 времени
ID: 15372, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 21:22:59, Текущее состояние: True, Процессор использовал 00:00:01.2187500 времени
ID: 16828, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 21:22:59, Текущее состояние: True, Процессор использовал 00:00:03.2343750 времени
ID: 10772, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 21:46:36, Текущее состояние: True, Процессор использовал 00:01:31.9843750 времени
ID: 11040, Имя: taskhostw, Приоритет: 8, Время запуска: 22.12.2023 21:56:03, Текущее состояние: True, Процессор использовал 00:00:00.1562500 времени
ID: 12228, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 22:08:20, Текущее состояние: True, Процессор использовал 00:00:00.0625000 времени
ID: 22660, Имя: smartscreen, Приоритет: 8, Время запуска: 22.12.2023 22:11:44, Текущее состояние: True, Процессор использовал 00:00:00.0781250 времени
